bili,stage,riskscore,trt
-1.420539128824105,-0.30136744586260933,3.0636716625694045,-0.6957730109873073
-1.420539343879852,-0.3013671639511371,3.0636715103921928,-0.6957729154074027
-1.420539222089907,-0.3013675502578143,3.0636717914442935,-0.6957729339860194
-1.4205391893988992,-0.30136732508458564,3.0636716247033755,-0.695772962076309
-1.4205388028356865,-0.30136792603816626,3.0636715740272806,-0.6957728783358555
-1.420539380764986,-0.3013679220052115,3.0636715518115376,-0.6957727913029756
-1.4205390382166407,-0.3013675339733272,3.063671728624415,-0.6957730322854282
-1.4205389285076833,-0.30136791065134655,3.063671807784679,-0.6957732607183145
-1.420534557015049,-0.3013703534092621,3.063668435575276,-0.6957720119515282
-1.4205391838656323,-0.3013673511169553,3.063671504624753,-0.6957736194945563
-1.4205393016503933,-0.3013672412888686,3.063671685339117,-0.6957727178786475
-1.4205393081188151,-0.3013675074447646,3.0636714257931787,-0.6957731569382414
-1.4205394736111978,-0.3013671593162232,3.063671176734517,-0.6957730077099394
-1.4205391538092325,-0.301367633632675,3.063671750335868,-0.6957732161887096
-1.4205386613756361,-0.30136706177815453,3.0636716823981427,-0.6957728395164704
-1.4205389957162597,-0.30136772673249934,3.0636713942878306,-0.6957732727968582
-1.4205392475774046,-0.30136739288586784,3.063671766764664,-0.6957730064102556
-1.4205392935391217,-0.3013673428950705,3.063671653625113,-0.6957727892462423
-1.4205393150502772,-0.30136761391046973,3.063671697938931,-0.6957734725168213
-1.4205394248744303,-0.3013670931937547,3.0636712774677326,-0.6957732387421651
-1.4205392141016189,-0.3013673780781466,3.0636717595769953,-0.6957729447422857
-1.4205393534853805,-0.3013679266244117,3.0636714486125545,-0.6957726832133603
-1.4205393525769037,-0.30136725826300637,3.0636714929573166,-0.6957730774826872
-1.4205391563252452,-0.30136768253247964,3.063671849876101,-0.6957733718290755
-1.42053865124099,-0.3013676830499287,3.063671637669951,-0.6957729745566003
-1.4205388864266097,-0.30136722547700734,3.0636716580559304,-0.6957724012723921
